Column1,Column2
"Shankar to Zampa, out Bowled!! Vijay Shankar has done it! This is India's 500th ODI win. The umpires wanted to check if it was a fair delivery, no problems whatsoever. He bowls the perfect delivery. Slips in a yorker right in the blockhole and a backing away Zampa can't jam it out. Crashes into middle-stump. India win by 8 runs! Zampa b Shankar 2(2)",49.3
"Shankar to Zampa, 2 runs, Zampa moves leg-side and pats this length ball to the right of point, where Rohit dives and takes the pace off the ball. The batters collect a double because of that",49.2
"Shankar to Stoinis, out Lbw!! Wow! Stoinis has been adjudged lbw. And Stoinis has to review that. He does. Legal delivery. A seam-up delivery and Stoinis missed the heave. Hit him on the back leg adjacent to the sticks. Was there any bat involved? Nothing on UltraEdge. Over to HawkEye, now. Umpire's call on hitting wickets. The on-field call of umpire Nitin Menon stays. Stoinis is absolutely distraught. What drama here at Nagpur! Stoinis wanted to play a big heave and got done in by this in-slanter from a length. The impact was on middle and ball-tracking showed it to be clipping leg-stump. Stoinis lbw b Shankar 52(65) [4s-4 6s-1]",49.1
"Shami to Lyon, FOUR, this is bonus for Australia. Shami dishes out a full toss on leg, Lyon clears his front leg to hoick across the line and gets a thick inside edge that runs away fine and into the fine leg fence",48.6
"Shami to Stoinis, 1 run, Stoinis backs away and Shami follows him with a pacy back of a length delivery at 139.2kph. Stoinis is cramped for room and he can only drag it to long-on",48.5
"Shami to Lyon, 1 run, Shami bowls length and that's been cut hard to deep point",48.4
"Shami to Stoinis, 1 run, Stoinis walks forward and across to work this short of length delivery to square leg. Gives the strike to Lyon",48.3
"Shami to Stoinis, 2 runs, just out of square leg's reach. An uppish, wristy flick to a back of a length and the ball evaded a leaping Kuldeep to his left. Stoinis comes back for the second and notches up a fifty! He won't be too bothered about his milestone at this moment",48.2
"Shami to Stoinis, no run, short of a good length ball, Stoinis shimmies down and punches it back towards the bowler",48.1
"Bumrah to Stoinis, 1 run, a single off the final ball of the over. A short of a good length ball, Stoinis walks towards off and nudges it to square leg. Another good outing for Bumrah: 10-0-29-2",47.6
"Bumrah to Stoinis, no run, that was so close to the outside edge! Good length delivery that nibbles away ever so lightly, Stoinis was looking for another defensive push, missed the outside nick by a whisker",47.5
"Bumrah to Stoinis, no run, 140.8kph, short of length delivery, blocked into the off-side",47.4
"Bumrah to Stoinis, no run, 140.5kph, yorker, Stoinis squeezes it out to backward point and Lyon comes out of his crease. The fielder is Jadeja who mocks a throw at the bowler's end",47.3
"Bumrah to Stoinis, no run, 135.7kph, good length delivery, Stoinis prods across and defends it towards mid-off. Seems, the plan is to see off Bumrah",47.2
"Bumrah to Stoinis, no run, 137.9kph, in-slanter, Stoinis knocks it straight down the ground. Mid-off moves to his right to mop that up. Another single denied",47.1
"Shami to Lyon, no run, 139.5kph, in-curling yorker and Lyon brings his bat down and manages to get an inside edge that rolls to fine leg. Single not taken!",46.6
"Shami to Stoinis, 1 run, Stoinis uses the bowler's pace and width to run it down to third man",46.5
