Column1,Column2
"Stoinis to Kedar Jadhav, FOUR, lofted over mid-wicket and that's the game and the series for India. Dhoni hugs Jadhav as his team-mates sport beaming smiles on their faces near the boundary. India won the Test series 2-1, they take the ODI series 2-1 and they have been unbeaten throughout with the T20s being shared",49.2
"Stoinis to Kedar Jadhav, no run, low full toss, driven to mid-off",49.1
"Siddle to Dhoni, no run, field up and this leg stump yorker is dug out to short mid-wicket. A big smile on Dhoni's face and then he gestures to Jadhav with his hand as if to say ""It's all yours now son!""",48.6
"Siddle to Dhoni, FOUR, full ball and it's been smashed. Finch has no chance at mid-off. The crowd are up on their feet. Dhoni waited for that ball to come and absolutely muscled that hard past the bowler",48.5
"Siddle to Dhoni, wide, another really poor wide down the leg-side. India are just a hit away now",48.5
"Siddle to Kedar Jadhav, 3 runs, batsman has a lot of time and area to play with on the off-side, however far you may follow him as a bowler, he can easily chip the ball over the infield, Jadhav plays this over backward point",48.4
"Siddle to Kedar Jadhav, no run, brilliant comeback from Siddle, Jadhav dances around in the crease, but Siddle nails the yorker, threatening to break the toe, dug out hurriedly by the batsman",48.3
"Siddle to Kedar Jadhav, FOUR, this is avery risky thing to do from Australia, to have no one on the off-side near the boundary and for the bowler to try a slower delivery that lands in the zone, Jadhav backs away and lofts the drive easily over cover",48.2
"Siddle to Dhoni, 1 run, leg stump low full toss aiming for the yorker, Dhoni flicks it to long leg",48.1
"Stoinis to Kedar Jadhav, FOUR, walks towards the bowler and takes this on the full, square-drives, beats the dive at backward point, third man is very fine, the ball slows down and tempts the fielder to dive, teases him to the rope. Fifty for Kedar Jadhav, vital innings. Looked like he was just listening to whatever MSD was saying. Great hand from both the players",47.6
"Stoinis to Dhoni, 1 run, slower delivery down the leg-side, Dhoni flicks it to fine leg",47.5
"Stoinis to Kedar Jadhav, leg byes, 1 run, slower delivery, Jadhav walks into the flick shot, gets hit on the thigh pad, no appeal because of height",47.4
"Stoinis to Dhoni, 1 run, Dhoni pulls this shortish delivery to fine leg",47.3
"Stoinis to Dhoni, FOUR, this is almost similar to the flick shot he played off Malinga in the 2011 World Cup final. Full toss down the leg-side, Dhoni flicks with strong bottom hand grip, fine leg fancies his chances, but there was enough power behind this shot",47.2
"Stoinis to Dhoni, 2 runs, in the airrrrr and dropped! Dhoni gets another life, oh there could be a run-out, Jadhav literally steals the second run. Full ball, Dhoni jumps out and smacks it hard, the ball flew to the left of Finch at mid-off, the Aussie captain dived to his left and got both hands to it, should have been held, but was not to be. Jadhav called for the second run and in the end he was saved by that brilliant full length dive that he put in and it saved him by a frame",47.1
"J Richardson to Dhoni, 1 run, down the leg-side, glanced to fine leg",46.6
"J Richardson to Kedar Jadhav, 1 run, Jadhav wants that scoop shot with backward square leg and fine leg inside the ring, but a good bowler would spot the batsman moving and bowl wide outside off stump like Richardson did now, swept in the air, but Maxi had too much ground to cover running to his right from deep mid-wicket",46.5
"J Richardson to Dhoni, 1 run, short slower ball, no pace on the ball, Dhoni pats the ball to backward square leg, wants the second run, but Carey rushes and prevents the second, well done!",46.4
"J Richardson to Kedar Jadhav, 1 run, full toss, Jadhav doesn't want to target cover, just tries to nudge to mid-wicket with a big gap there and look for two, only gets one",46.3
"J Richardson to Dhoni, 1 run, short, pulled nicely, but deep square leg runs to his right and cuts it off",46.2
"J Richardson to Kedar Jadhav, 1 run, oh well bowled. Jadhav wanted to play the scoop shot with fine leg inside, Richardson bowled a yorker outside off stump and forced Jadhav to just dab into the on-side",46.1
"Siddle to Dhoni, no run, yorker on the leg stump, Dhoni digs it out towards mid-wicket",45.6
