Column1,Column2
"Chahal to Lockie Ferguson, out Caught by Shankar!! Mishit from Ferguson and taken at long-on. India win by 90 runs. Flighted ball from Chahal, Ferguson wants a maximum, lofts, doesn't get the timing right. Lockie Ferguson c Shankar b Chahal 12(20) [4s-1]",40.2
"Chahal to Lockie Ferguson, no run, flighted delivery on the off stump, Ferguson defends",40.1
"Bhuvneshwar to Boult, no run, this time Bhuvneshwar beats him for pace with a bouncer, Boult swung really hard at it and missed",39.6
"Bhuvneshwar to Boult, SIX, now that's an angry response from the bowler, bowling a bumper, but Boult further irritates the bowler by backing away and flat-batting this hard over long-on",39.5
"Bhuvneshwar to Boult, FOUR, the knuckle ball, but Boult has picked it, lofted that high in the air over mid-off and the timing was decent enough",39.4
"Bhuvneshwar to Boult, no run, short of length delivery on the stumps, Boult defends after covering the line of the ball",39.3
"Bhuvneshwar to Doug Bracewell, out Caught by Dhawan!! In the air and taken at long-on. Fullish delivery from Bhuvneshwar, looked like the slower ball, Bracewell lofted and wanted to hit a maximum, but there was not much of pace offered by the bowler so he ended up finding the fielder. End of a fine innings. Doug Bracewell c Dhawan b Bhuvneshwar 57(46) [4s-5 6s-3]",39.2
"Bhuvneshwar to Doug Bracewell, no run, short of length delivery on the stumps, Bracewell backs away and pushes it towards backward point",39.1
"Kuldeep Yadav to Lockie Ferguson, FOUR, inside edge escapes past the leg stump, Ferguson wanted to defend off the front foot, got an edge that was thick enough to miss the stumps",38.6
"Kuldeep Yadav to Doug Bracewell, 1 run, swept hard to deep backward square leg",38.5
"Kuldeep Yadav to Doug Bracewell, no run, oh this one spins sharply back in and hits Bracewell on the pad, spinning past leg stump though",38.4
"Kuldeep Yadav to Doug Bracewell, no run, goes back and defends into the off-side",38.3
"Kuldeep Yadav to Lockie Ferguson, 1 run, shortish googly, Ferguson takes a step down, waits and punches it to deep mid-wicket",38.2
"Kuldeep Yadav to Lockie Ferguson, no run, flighted delivery on the stumps, Ferguson steps out and defends",38.1
"Bhuvneshwar to Doug Bracewell, no run, off-driven hard and straight to mid-off",37.6
"Bhuvneshwar to Doug Bracewell, 2 runs, another mistimed loft from Bracewell, wanted to hit this over the umpire's head, ended up hitting it to the right of mid-on",37.5
"Bhuvneshwar to Doug Bracewell, no run, short delivery outside off stump, Bracewell tries to ramp it over the infield and misses",37.4
"Bhuvneshwar to Doug Bracewell, no run, defended",37.3
"Bhuvneshwar to Doug Bracewell, FOUR, slogged away over mid-wicket, not from the middle of the bat, Bracewell used his wrists to place to wide of Vijay Shankar's left, a full length dive wasn't good enough to stop the ball",37.2
"Bhuvneshwar to Doug Bracewell, no run, short of length delivery on the stumps, Bracewell defends",37.1
"Kuldeep Yadav to Lockie Ferguson, no run, flatter delivery, didn't spin, Ferguson adjusted late and defended off the back foot",36.6
"Kuldeep Yadav to Doug Bracewell, 1 run, tossed up, very full, flicked to deep mid-wicket, maiden ODI fifty for Doug Bracewell",36.5
"Kuldeep Yadav to Lockie Ferguson, 1 run, oh a swipe across the line and the mishit goes wide of the man at mid-wicket",36.4
"Kuldeep Yadav to Lockie Ferguson, no run, googly outside off stump, Ferguson steps out and defends",36.3
"Kuldeep Yadav to Lockie Ferguson, no run, short and wide outside off stump, Ferguson cuts it to backward point",36.2
"Kuldeep Yadav to Lockie Ferguson, no run, googly just outside off stump, Ferguson defends off the front foot",36.1
"Chahal to Doug Bracewell, no run, punched off the back foot towards cover",35.6
"Chahal to Lockie Ferguson, 1 run, short and slow, Ferguson pulls it to deep mid-wicket",35.5
"Chahal to Doug Bracewell, 1 run, the quicker delivery, Bracewell runs down the pitch to slog, gets an inside edge to deep mid-wicket",35.4
"Chahal to Doug Bracewell, SIX, slogged hard and decently well enough to power this flighted delivery over deep mid-wicket, Chahal had the right idea to toss the ball up looking for a mishit, but this was a yard too full",35.3
