Column1,Column2
"Stoinis to Shami, out Caught by Maxwell!! Australia 1-0 up in the series. Nothing to lose for Shami and he thwacked it flat-footed from the crease, Maxwell had all the time in the world to sit underneath and gobble the simplest of catches at mid-wicket. Shami c Maxwell b Stoinis 1(2)",49.6
"Stoinis to Bhuvneshwar, 1 run, dropped by Handscomb! Bhuvi gets a thick top-edge on the pull and the fielder at deep backward square did an excellent job running across to his right and dive full length to nestle the ball . As Handscomb dived, the elbows hit the ground and the ball popped out of his hands",49.5
"Stoinis to Bhuvneshwar, no run, jumps down the pitch and toe-ends the drive straight to cover",49.4
"Stoinis to Bhuvneshwar, FOUR, makes room and pumps the full delivery in the gap through extra cover. Bhuvi is having fun out there",49.3
"Stoinis to Shami, 1 run, off-cutter on the pads, Shami glances to short fine",49.2
"Stoinis to Bhuvneshwar, 1 run, slower ball outside off, Bhuvi chips the drive over cover, just evades the backtracking fielder at point",49.1
"Siddle to Kuldeep Yadav, out Caught by Khawaja!! Khawaja doesn't drop it this time. Kuldeep went a long way across and had a big swipe at the slower ball outside off stump, dragged off the thick inside half and picked out the man at deep backward square. Kuldeep Yadav c Khawaja b Siddle 3(6)",48.6
"Siddle to Bhuvneshwar, 1 run, yorker length on the pads, Bhuvi sends the flick into the mid-wicket and is content with a single",48.5
"Siddle to Bhuvneshwar, 2 runs, makes room, waits for the slower delivery and spanks it over cover for a couple of runs",48.4
"Siddle to Kuldeep Yadav, 1 run, short and slow on leg-stump, Kuldeep drags the pull from outside off to deep square",48.3
"Siddle to Bhuvneshwar, 1 run, advances down the pitch and pushes the full delivery into the covers",48.2
"Siddle to Bhuvneshwar, FOUR, short and wide, thanks for coming! Bhuvi moves legside and flays this nice and clean over backward point",48.1
"Stoinis to Bhuvneshwar, 1 run, Khawaja drops a dolly. Swung high and mighty into the night sky, Khawaja stationed himself nice and steady at long-on and maybe he was distracted with too much air time and ended up shelling it. Straight in and straight out",47.6
"Stoinis to Kuldeep Yadav, leg byes, 1 run, walks across and misses the flick, pings the thigh pad and rolls into the leg-side",47.5
"Stoinis to Bhuvneshwar, 1 run, slower short ball on the stumps, Bhuvi gets the pull to the left of short fine, Behrendorff gets a hand but was always a tough chance that",47.4
"Stoinis to Bhuvneshwar, no run, walks a long way across and looks for the scoop, beaten for pace",47.3
