Column1,Column2
"Stoinis to Kuldeep Yadav, out Bowled! There we go! Finds the blockhole, and uproots the middle-stump as Kuldeep tries slugging it away into the cow corner region. That's the end of it, and Australia, man-o-man, down 0-2, and they've come from behind to win 3-2. Fantastic scenes, and the Aussies are chuffed! Kuldeep Yadav b Stoinis 8(12) [4s-1]",49.6
"Stoinis to Kuldeep Yadav, no run, short ball, at the body, Kuldeep Yadav is advancing but notices the length and is forced to duck! Bounces over his head...",49.5
"Stoinis to Kuldeep Yadav, no run, fuller length delivery angled wide outside off, Kuldeep Yadav stays leg-side and laces it towards the covers but doesn't take the single",49.4
"Stoinis to Bumrah, 1 run, short one, Bumrah tries hooking, gets a spliced top-edge on it just over the circle for a single",49.3
"Stoinis to Kuldeep Yadav, 1 run, shortish one again, Kuldeep Yadav clubs it away into the gap at deep midwicket again, but Handscomb comes around from a squarer position to pick it up",49.2
"Stoinis to Kuldeep Yadav, wide, angled past the tramline from over the wicket and that's called a wide by the umpire",49.2
"Stoinis to Kuldeep Yadav, FOUR, shortish delivery, Kuldeep Yadav backs away and clubs it away with a pseudo-pull towards the cow corner fence for four",49.1
"J Richardson to Bumrah, no run, fuller length delivery outside off, Bumrah tries to push it towards cover, gets a thick inside edge towards fine leg, and Kuldeep denies him the single!",48.6
"J Richardson to Bumrah, no run, another short one, well-directed ball, Bumrah tries pulling again, but is hurried by the pace. Ducks again...",48.5
"J Richardson to Bumrah, no run, bumper at the No.11 @137km/h, Bumrah jack-knifes after shaping up to play a shot, hits something and lobs up, but lands well in front of the 'keeper",48.4
"J Richardson to Shami, out Caught&Bowled! Hammered into the pitch, just outside off, Shami clears his front-leg again to launch into that pull he's been trying throughout his brief knock, gets it off the splice, up in the air, not too high, and J Richardson rushes forward, aided by the momentum from his followthrough towards the dipping ball to take a return catch. Just one wicket away from glory, are Australia. Shami c and b J Richardson 3(7)",48.3
"J Richardson to Kuldeep Yadav, 1 run, short of length delivery on the body, Kuldeep Yadav backs away and pulls it away towards wide mid-on for a single",48.2
"J Richardson to Shami, 1 run, shortish one, Shami indulges in a short-arm pull towards the cow corner region for a single",48.1
"Pat Cummins to Shami, 1 run, finally connects with the pull, gets it away towards backward square leg for a single",47.6
"Pat Cummins to Shami, no run, another short one, that Wagner length, Shami tries hooking it once again, and it whizzes past his face",47.5
"Pat Cummins to Shami, no run, shortish delivery, doesn't rise much, Shami backs away and tries to cart it over cow corner, misses it completely. Not enough bounce for that shot...",47.4
"Pat Cummins to Shami, no run, short and wide, Shami tries to slap it through the cover, but he's early on it and ends up miscuing it towards mid-on",47.3
"Pat Cummins to Kuldeep Yadav, 1 run, strays on the pads, whipped away to deep square leg for a single",47.2
"Pat Cummins to Kuldeep Yadav, no run, back of a length delivery just outside off, Kuldeep Yadav opens the face towards short third man - he takes off for the single, and there's a sharp throw at the striker's end. Might have been out, if he had hit!",47.1
"J Richardson to Kuldeep Yadav, 1 run, back of a length delivery on the leg-stump, tucked in front of square leg for a single. They think about the double but finally decide against it - rightly so",46.6
"J Richardson to Shami, 1 run, short ball, Shami swivels into a hook to backward square leg for a single. Lands short of the man in the deep",46.5
"J Richardson to Kuldeep Yadav, leg byes, 1 run, short of length delivery on the hip, tucked away off the body towards fine leg for a single",46.4
"J Richardson to Kuldeep Yadav, no run, short of length delivery just outside off, Kuldeep Yadav tries running it down to the third man region, and misses",46.3
"J Richardson to Kuldeep Yadav, no run, short ball, Kuldeep Yadav ducks underneath it",46.2
